,dayofweek,startDate_year,startDate_month,startDate_day,startDate_hour,startDate_minute,holiday,schoolHoliday,predicted_load
114,5,2015,5,2,4,15,0,0,278.72406
115,5,2015,5,2,4,30,0,0,278.01413
116,5,2015,5,2,4,45,0,0,275.50366
117,5,2015,5,2,5,0,0,0,266.629
118,5,2015,5,2,5,15,0,0,264.14886
119,5,2015,5,2,5,30,0,0,262.78647
120,5,2015,5,2,5,45,0,0,259.66794
121,5,2015,5,2,6,0,0,0,256.00668
122,5,2015,5,2,6,15,0,0,256.63855
123,5,2015,5,2,6,30,0,0,258.9191
124,5,2015,5,2,6,45,0,0,259.8388
125,5,2015,5,2,7,0,0,0,260.9082
126,5,2015,5,2,7,15,0,0,260.68213
127,5,2015,5,2,7,30,0,0,262.0939
128,5,2015,5,2,7,45,0,0,262.48297
129,5,2015,5,2,8,0,0,0,263.41617
130,5,2015,5,2,8,15,0,0,263.17557
131,5,2015,5,2,8,30,0,0,263.93384
132,5,2015,5,2,8,45,0,0,263.33337
133,5,2015,5,2,9,0,0,0,258.75027
134,5,2015,5,2,9,15,0,0,258.1503
135,5,2015,5,2,9,30,0,0,259.412
136,5,2015,5,2,9,45,0,0,259.00827
137,5,2015,5,2,10,0,0,0,260.27203
138,5,2015,5,2,10,15,0,0,259.74878
139,5,2015,5,2,10,30,0,0,260.35278
140,5,2015,5,2,10,45,0,0,259.50763
141,5,2015,5,2,11,0,0,0,255.94388
142,5,2015,5,2,11,15,0,0,254.456
143,5,2015,5,2,11,30,0,0,254.29895
144,5,2015,5,2,11,45,0,0,252.12502
145,5,2015,5,2,12,0,0,0,239.80772
146,5,2015,5,2,12,15,0,0,233.42464
147,5,2015,5,2,12,30,0,0,229.56885
148,5,2015,5,2,12,45,0,0,226.42471
149,5,2015,5,2,13,0,0,0,220.24422
150,5,2015,5,2,13,15,0,0,218.8701
151,5,2015,5,2,13,30,0,0,218.34396
152,5,2015,5,2,13,45,0,0,216.19293
153,5,2015,5,2,14,0,0,0,210.60022
154,5,2015,5,2,14,15,0,0,209.74252
155,5,2015,5,2,14,30,0,0,209.92595
156,5,2015,5,2,14,45,0,0,208.91144
157,5,2015,5,2,15,0,0,0,205.32965
158,5,2015,5,2,15,15,0,0,204.98903
159,5,2015,5,2,15,30,0,0,205.91225
160,5,2015,5,2,15,45,0,0,205.18867
161,5,2015,5,2,16,0,0,0,205.96455
162,5,2015,5,2,16,15,0,0,205.4645
163,5,2015,5,2,16,30,0,0,206.02565
164,5,2015,5,2,16,45,0,0,205.1271
165,5,2015,5,2,17,0,0,0,203.61946
166,5,2015,5,2,17,15,0,0,203.16377
167,5,2015,5,2,17,30,0,0,203.69461
168,5,2015,5,2,17,45,0,0,202.67603
169,5,2015,5,2,18,0,0,0,201.76585
170,5,2015,5,2,18,15,0,0,201.17468
171,5,2015,5,2,18,30,0,0,201.49297
172,5,2015,5,2,18,45,0,0,199.58305
173,5,2015,5,2,19,0,0,0,197.26082
174,5,2015,5,2,19,15,0,0,196.49524
175,5,2015,5,2,19,30,0,0,196.73988
176,5,2015,5,2,19,45,0,0,195.2874
177,5,2015,5,2,20,0,0,0,191.08876
178,5,2015,5,2,20,15,0,0,189.82008
179,5,2015,5,2,20,30,0,0,189.49356
180,5,2015,5,2,20,45,0,0,187.69293
181,5,2015,5,2,21,0,0,0,184.30515
182,5,2015,5,2,21,15,0,0,183.16759
183,5,2015,5,2,21,30,0,0,182.99138
184,5,2015,5,2,21,45,0,0,181.32375
185,5,2015,5,2,22,0,0,0,178.34473
186,5,2015,5,2,22,15,0,0,177.43468
187,5,2015,5,2,22,30,0,0,177.27138
188,5,2015,5,2,22,45,0,0,176.06248
189,5,2015,5,2,23,0,0,0,176.21841
190,5,2015,5,2,23,15,0,0,175.3888
191,5,2015,5,2,23,30,0,0,175.48833
192,5,2015,5,2,23,45,0,0,174.4354
193,6,2015,5,3,0,0,0,0,174.55429
194,6,2015,5,3,0,15,0,0,174.24036
195,6,2015,5,3,0,30,0,0,174.3849
196,6,2015,5,3,0,45,0,0,174.41988
197,6,2015,5,3,1,0,0,0,173.3702
198,6,2015,5,3,1,15,0,0,173.38336
199,6,2015,5,3,1,30,0,0,173.74904
200,6,2015,5,3,1,45,0,0,173.9115
201,6,2015,5,3,2,0,0,0,173.74704
202,6,2015,5,3,2,15,0,0,173.57388
203,6,2015,5,3,2,30,0,0,173.3504
204,6,2015,5,3,2,45,0,0,173.25386
205,6,2015,5,3,3,0,0,0,173.01624
206,6,2015,5,3,3,15,0,0,172.78136
207,6,2015,5,3,3,30,0,0,172.3479
208,6,2015,5,3,3,45,0,0,171.73714
209,6,2015,5,3,4,0,0,0,170.69783
210,6,2015,5,3,4,15,0,0,170.42511
211,6,2015,5,3,4,30,0,0,169.83597
212,6,2015,5,3,4,45,0,0,168.80666
213,6,2015,5,3,5,0,0,0,162.45866
214,6,2015,5,3,5,15,0,0,162.02942
215,6,2015,5,3,5,30,0,0,160.87756
216,6,2015,5,3,5,45,0,0,159.65657
217,6,2015,5,3,6,0,0,0,156.98943
218,6,2015,5,3,6,15,0,0,157.26175
219,6,2015,5,3,6,30,0,0,157.54472
220,6,2015,5,3,6,45,0,0,157.75972
221,6,2015,5,3,7,0,0,0,157.6765
222,6,2015,5,3,7,15,0,0,157.76215
223,6,2015,5,3,7,30,0,0,158.16545
224,6,2015,5,3,7,45,0,0,158.26141
225,6,2015,5,3,8,0,0,0,159.28532
226,6,2015,5,3,8,15,0,0,159.4148
227,6,2015,5,3,8,30,0,0,159.51764
228,6,2015,5,3,8,45,0,0,159.52953
229,6,2015,5,3,9,0,0,0,160.35591
230,6,2015,5,3,9,15,0,0,160.21959
231,6,2015,5,3,9,30,0,0,160.746
232,6,2015,5,3,9,45,0,0,160.91284
233,6,2015,5,3,10,0,0,0,161.38715
234,6,2015,5,3,10,15,0,0,161.29001
235,6,2015,5,3,10,30,0,0,161.30484
236,6,2015,5,3,10,45,0,0,161.26979
237,6,2015,5,3,11,0,0,0,160.91608
238,6,2015,5,3,11,15,0,0,160.78618
239,6,2015,5,3,11,30,0,0,160.69902
240,6,2015,5,3,11,45,0,0,160.58473
241,6,2015,5,3,12,0,0,0,160.7005
242,6,2015,5,3,12,15,0,0,160.49875
243,6,2015,5,3,12,30,0,0,160.38193
244,6,2015,5,3,12,45,0,0,160.31798
245,6,2015,5,3,13,0,0,0,158.76762
246,6,2015,5,3,13,15,0,0,158.49219
247,6,2015,5,3,13,30,0,0,158.44977
248,6,2015,5,3,13,45,0,0,158.30208
249,6,2015,5,3,14,0,0,0,156.31346
250,6,2015,5,3,14,15,0,0,155.99042
251,6,2015,5,3,14,30,0,0,155.92383
252,6,2015,5,3,14,45,0,0,155.88524
253,6,2015,5,3,15,0,0,0,154.89578
254,6,2015,5,3,15,15,0,0,154.67099
255,6,2015,5,3,15,30,0,0,154.66815
256,6,2015,5,3,15,45,0,0,154.57097
257,6,2015,5,3,16,0,0,0,154.486
258,6,2015,5,3,16,15,0,0,154.25093
259,6,2015,5,3,16,30,0,0,154.33736
260,6,2015,5,3,16,45,0,0,154.3172
261,6,2015,5,3,17,0,0,0,153.58522
262,6,2015,5,3,17,15,0,0,153.46025
263,6,2015,5,3,17,30,0,0,153.67621
264,6,2015,5,3,17,45,0,0,153.76433
265,6,2015,5,3,18,0,0,0,153.75777
266,6,2015,5,3,18,15,0,0,153.89342
